periodo,anio,trimestre,ingresos,egresos,saldo,fuente,fecha_carga
2010T3,2010,3,2968.076805894683,3501.9881442869764,-533.9113383922936,INDEC_BDP_C04,2026-06-08
2010T4,2010,4,3696.3283284672225,3831.2150837700065,-134.88675530278397,INDEC_BDP_C04,2026-06-08
2011T1,2011,1,3523.5022276790896,4375.222122531285,-851.7198948521955,INDEC_BDP_C04,2026-06-08
2011T2,2011,2,3347.595341351459,4129.4107409478165,-781.8153995963576,INDEC_BDP_C04,2026-06-08
2011T3,2011,3,3450.411395203342,4333.19154339499,-882.7801481916476,INDEC_BDP_C04,2026-06-08
2011T4,2011,4,4175.472311149591,4811.644905585855,-636.1725944362634,INDEC_BDP_C04,2026-06-08
2012T1,2012,1,3842.869119572199,5066.12763917827,-1223.2585196060713,INDEC_BDP_C04,2026-06-08
2012T2,2012,2,3354.2621306983897,4383.035550418617,-1028.7734197202276,INDEC_BDP_C04,2026-06-08
2012T3,2012,3,3413.5738365974407,4429.876144080655,-1016.302307483214,INDEC_BDP_C04,2026-06-08
2012T4,2012,4,3636.395642689681,4465.286119852018,-828.8904771623365,INDEC_BDP_C04,2026-06-08
2013T1,2013,1,3401.6055687837907,5131.881916439653,-1730.276347655862,INDEC_BDP_C04,2026-06-08
2013T2,2013,2,3222.503750799415,4499.449079727279,-1276.9453289278645,INDEC_BDP_C04,2026-06-08
2013T3,2013,3,3185.852310140524,4539.767825512383,-1353.9155153718589,INDEC_BDP_C04,2026-06-08
2013T4,2013,4,3869.930138651628,4837.70906203481,-967.7789233831818,INDEC_BDP_C04,2026-06-08
2014T1,2014,1,3413.5694658006646,4964.359543778052,-1550.7900779773877,INDEC_BDP_C04,2026-06-08
2014T2,2014,2,3098.856508794772,4294.148283882071,-1195.2917750872994,INDEC_BDP_C04,2026-06-08
2014T3,2014,3,3199.753624958211,4320.302985317541,-1120.5493603593304,INDEC_BDP_C04,2026-06-08
2014T4,2014,4,3684.192228172739,4458.853168149963,-774.6609399772237,INDEC_BDP_C04,2026-06-08
2015T1,2015,1,3473.963284353291,5009.753947839019,-1535.7906634857281,INDEC_BDP_C04,2026-06-08
2015T2,2015,2,3047.3740030526506,4294.11901736909,-1246.7450143164397,INDEC_BDP_C04,2026-06-08
2015T3,2015,3,3228.3318177659476,4771.896664775636,-1543.5648470096885,INDEC_BDP_C04,2026-06-08
2015T4,2015,4,3463.843244804543,4952.787413236963,-1488.9441684324206,INDEC_BDP_C04,2026-06-08
2016T1,2016,1,3610.111504568405,6108.576424465642,-2498.464919897237,INDEC_BDP_C04,2026-06-08
2016T2,2016,2,2954.6334632957205,4881.316800209043,-1926.6833369133228,INDEC_BDP_C04,2026-06-08
2016T3,2016,3,3221.799615925578,5446.863040404683,-2225.0634244791045,INDEC_BDP_C04,2026-06-08
2016T4,2016,4,3638.162300435501,5439.605804681644,-1801.4435042461432,INDEC_BDP_C04,2026-06-08
2017T1,2017,1,4037.478147636504,7098.319650390883,-3060.841502754379,INDEC_BDP_C04,2026-06-08
2017T2,2017,2,3625.340606870293,5694.025465503925,-2068.6848586336323,INDEC_BDP_C04,2026-06-08
2017T3,2017,3,3659.9911029525824,6209.228031936112,-2549.236928983529,INDEC_BDP_C04,2026-06-08
2017T4,2017,4,4183.392104522905,6200.067406375723,-2016.675301852818,INDEC_BDP_C04,2026-06-08
2018T1,2018,1,4473.665394415057,7870.367847639673,-3396.702453224616,INDEC_BDP_C04,2026-06-08
2018T2,2018,2,3517.7767016905204,6054.579483679583,-2536.8027819890626,INDEC_BDP_C04,2026-06-08
2018T3,2018,3,3357.7255472994643,5310.711187466287,-1952.9856401668226,INDEC_BDP_C04,2026-06-08
2018T4,2018,4,3992.9955344272857,5041.772445091388,-1048.7769106641026,INDEC_BDP_C04,2026-06-08
2019T1,2019,1,3941.591214282501,5651.605096588825,-1710.0138823063244,INDEC_BDP_C04,2026-06-08
2019T2,2019,2,3374.519074732183,4665.682190172013,-1291.16311543983,INDEC_BDP_C04,2026-06-08
2019T3,2019,3,3469.7676647637836,4755.0040569411885,-1285.236392177405,INDEC_BDP_C04,2026-06-08
2019T4,2019,4,4016.542850833996,4573.302878328365,-556.7600274943693,INDEC_BDP_C04,2026-06-08
2020T1,2020,1,3685.047099611062,4670.884657118753,-985.8375575076911,INDEC_BDP_C04,2026-06-08
2020T2,2020,2,1880.073341561219,2175.266246921916,-295.19290536069684,INDEC_BDP_C04,2026-06-08
2020T3,2020,3,1803.4454700655533,2405.163482177835,-601.7180121122815,INDEC_BDP_C04,2026-06-08
2020T4,2020,4,2123.171695555865,2776.705987039567,-653.534291483702,INDEC_BDP_C04,2026-06-08
2021T1,2021,1,1981.8274919566888,2640.353795067363,-658.5263031106742,INDEC_BDP_C04,2026-06-08
2021T2,2021,2,2244.765240891179,2885.4283049786695,-640.6630640874905,INDEC_BDP_C04,2026-06-08
2021T3,2021,3,2416.2839898136917,3444.490137450477,-1028.2061476367853,INDEC_BDP_C04,2026-06-08
2021T4,2021,4,2945.858954991085,4318.554938314234,-1372.6959833231494,INDEC_BDP_C04,2026-06-08
2022T1,2022,1,3141.2336962613367,5038.847463799409,-1897.613767538072,INDEC_BDP_C04,2026-06-08
2022T2,2022,2,3374.6111603437685,5155.694260339445,-1781.083099995676,INDEC_BDP_C04,2026-06-08
2022T3,2022,3,3733.2698500894144,5721.036631020716,-1987.766780931302,INDEC_BDP_C04,2026-06-08
2022T4,2022,4,4166.748915565923,5275.143361479362,-1108.394445913439,INDEC_BDP_C04,2026-06-08
2023T1,2023,1,4233.781505415237,6464.888846072111,-2231.107340656874,INDEC_BDP_C04,2026-06-08
2023T2,2023,2,3910.9716606379375,5373.683914116757,-1462.712253478819,INDEC_BDP_C04,2026-06-08
2023T3,2023,3,3961.64730583922,5519.151057640705,-1557.5037518014856,INDEC_BDP_C04,2026-06-08
2023T4,2023,4,4425.945593350517,5214.529908953459,-788.5843156029423,INDEC_BDP_C04,2026-06-08
2024T1,2024,1,4179.498762919889,5530.344173900896,-1350.8454109810073,INDEC_BDP_C04,2026-06-08
2024T2,2024,2,3874.2033744469827,5009.703628117941,-1135.500253670958,INDEC_BDP_C04,2026-06-08
2024T3,2024,3,4430.145085874816,6033.855967988276,-1603.7108821134598,INDEC_BDP_C04,2026-06-08
2024T4,2024,4,4683.001584989284,6342.867626143807,-1659.8660411545225,INDEC_BDP_C04,2026-06-08
2025T1,2025,1,4643.875713982137,9133.829175702747,-4489.95346172061,INDEC_BDP_C04,2026-06-08
2025T2,2025,2,4212.040060847188,6663.080114706368,-2451.0400538591794,INDEC_BDP_C04,2026-06-08
2025T3,2025,3,4416.925589232141,6896.808059833888,-2479.8824706017476,INDEC_BDP_C04,2026-06-08
2025T4,2025,4,4766.001499338558,6578.6995014172935,-1812.698002078736,INDEC_BDP_C04,2026-06-08
