periodo,anio,trimestre,ingresos,egresos,saldo,fuente,fecha_carga
2011T4,2011,4,666.1036914303619,525.3282345023365,140.7754569280254,INDEC_BDP_C01_ING_SEC,2026-06-08
2012T1,2012,1,630.8676317500586,480.8521564515344,150.01547529852422,INDEC_BDP_C01_ING_SEC,2026-06-08
2012T2,2012,2,648.0107284067383,450.11716753580896,197.89356087092932,INDEC_BDP_C01_ING_SEC,2026-06-08
2012T3,2012,3,579.5948687470955,412.53371937436947,167.061149372726,INDEC_BDP_C01_ING_SEC,2026-06-08
2012T4,2012,4,602.6155764441105,445.4735579343991,157.14201850971142,INDEC_BDP_C01_ING_SEC,2026-06-08
2013T1,2013,1,581.8248163756903,406.15539679786576,175.6694195778245,INDEC_BDP_C01_ING_SEC,2026-06-08
2013T2,2013,2,860.0223087175018,407.6001539488585,452.4221547686433,INDEC_BDP_C01_ING_SEC,2026-06-08
2013T3,2013,3,653.8590217107136,422.55636884976343,231.30265286095016,INDEC_BDP_C01_ING_SEC,2026-06-08
2013T4,2013,4,799.2717465970861,924.5313103951188,-125.25956379803267,INDEC_BDP_C01_ING_SEC,2026-06-08
2014T1,2014,1,654.8849527280315,352.18664830510346,302.69830442292806,INDEC_BDP_C01_ING_SEC,2026-06-08
2014T2,2014,2,872.409368111319,349.36052672276935,523.0488413885497,INDEC_BDP_C01_ING_SEC,2026-06-08
2014T3,2014,3,814.8010900639434,391.6149635304033,423.1861265335401,INDEC_BDP_C01_ING_SEC,2026-06-08
2014T4,2014,4,693.6900140137167,407.97973152579596,285.7102824879207,INDEC_BDP_C01_ING_SEC,2026-06-08
2015T1,2015,1,443.1779044332219,362.4365818294166,80.74132260380532,INDEC_BDP_C01_ING_SEC,2026-06-08
2015T2,2015,2,758.4809831350793,355.1498257327402,403.3311574023391,INDEC_BDP_C01_ING_SEC,2026-06-08
2015T3,2015,3,610.9132066664972,408.1808749312474,202.73233173524983,INDEC_BDP_C01_ING_SEC,2026-06-08
2015T4,2015,4,751.1643075335364,355.13462301620666,396.02968451732977,INDEC_BDP_C01_ING_SEC,2026-06-08
2016T1,2016,1,633.3430889361767,312.75905792671665,320.5840310094601,INDEC_BDP_C01_ING_SEC,2026-06-08
2016T2,2016,2,905.4542429364816,599.8896245483912,305.56461838809037,INDEC_BDP_C01_ING_SEC,2026-06-08
2016T3,2016,3,674.1458484849279,380.07582823924275,294.07002024568516,INDEC_BDP_C01_ING_SEC,2026-06-08
2016T4,2016,4,609.0215003524598,406.3177098320173,202.70379052044257,INDEC_BDP_C01_ING_SEC,2026-06-08
2017T1,2017,1,585.6445734303547,361.2593972795932,224.38517615076154,INDEC_BDP_C01_ING_SEC,2026-06-08
2017T2,2017,2,611.6473555807461,402.911699537198,208.7356560435481,INDEC_BDP_C01_ING_SEC,2026-06-08
2017T3,2017,3,631.3006892405036,708.372762564575,-77.07207332407143,INDEC_BDP_C01_ING_SEC,2026-06-08
2017T4,2017,4,778.6438910634736,763.2589953960144,15.384895667459205,INDEC_BDP_C01_ING_SEC,2026-06-08
2018T1,2018,1,638.6839129629545,482.7599680836479,155.92394487930665,INDEC_BDP_C01_ING_SEC,2026-06-08
2018T2,2018,2,893.357511288538,440.9422913530548,452.4152199354832,INDEC_BDP_C01_ING_SEC,2026-06-08
2018T3,2018,3,676.692586020042,438.8583590164768,237.83422700356516,INDEC_BDP_C01_ING_SEC,2026-06-08
