periodo,anio,trimestre,cuenta_financiera,inversion_directa,inversion_cartera,derivados,otra_inversion,activos_reserva,fuente,fecha_carga
2021T2,2021,2,1304.9224218902634,-1583.0381450696998,1245.6458959761003,-0.006681090903420284,-760.4367991867933,2402.7581512615598,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2021T3,2021,3,1215.1933733593644,-338.6820819167646,985.5507393234576,0.21818763342021547,116.25140198475219,451.8551263344989,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2021T4,2021,4,571.9840586388805,-978.5725001044962,817.680347020978,-12.63368201552023,4385.592603927921,-3640.0827101900027,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2022T1,2022,1,-1739.1555307829126,-3055.4822330704737,2332.9631733789793,1.168514335901522,-4210.20285610732,3192.3978706800003,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2022T2,2022,2,-3118.299936476289,-4289.980589138773,1853.653389853076,2.071997286377101,-1967.444734476968,1283.3999999999987,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2022T3,2022,3,-3456.160233679705,-5421.452930871416,2057.4818915780916,-4.894282097869558,3438.0271680414885,-3525.322080329999,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2022T4,2022,4,876.4542029974509,-349.33506116294063,1218.5248729152536,6.1035700029106685,-5968.132681047776,5969.293502290003,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2023T1,2023,1,-7162.767120427527,-3637.1469504405604,3001.179698678503,3.088132931052173,-526.3792933965194,-6003.508708200002,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2023T2,2023,2,-6867.043874535004,-5276.1996118608895,966.255252424789,-1.838162074196547,7503.192093458045,-10058.453446482752,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2023T3,2023,3,-7308.420435847301,-6329.474858688349,2422.252043129553,-2.0354783677078077,-2510.338762997925,-888.8233789228714,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2023T4,2023,4,-4196.255497687799,-6490.802735355123,443.3229368765127,10.370985478082225,6565.039466232731,-4724.186150920001,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2024T1,2024,1,-502.78440835781703,-5700.393258140375,-843.3107697988074,0.7138494317141486,1962.0810896811963,4078.1246804684547,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2024T2,2024,2,2454.3326804427325,-1494.1154799574972,-620.0178497388883,-6.019426888989462,2880.42682503052,1694.0586119975878,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2024T3,2024,3,-341.98592435777937,-2511.491463584053,4185.036836166266,18.22963222575229,936.7876814379468,-2970.5486106036915,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2024T4,2024,4,-108.66940578294998,818.3290736205907,1967.8020933864566,6.321782380164104,-6192.750981709454,3291.628626539293,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2025T1,2025,1,-7511.702901522857,-412.4511849690392,3318.64841525899,-9.124383179943397,-4781.274510203336,-5627.501238429529,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2025T2,2025,2,-3381.1192424179135,-2022.5715576828138,-2095.429533261228,-5.819143516044154,-13528.712696706643,14271.413688748817,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2025T3,2025,3,-2371.100966190954,-3457.2285579443937,3422.3538593592657,-21.152868735840137,-1860.6212883857452,-454.45211048424056,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
2025T4,2025,4,1850.2577604276194,5592.268331975491,-5434.575735708411,38.81673189474982,2622.1347643336944,-968.3863320679043,INDEC_BDP_C01_CUENTA_FINANCIERA,2026-06-07
