periodo,anio,trimestre,saldo_cuenta_corriente,cuenta_capital,cuenta_financiera,saldo_global,fuente,fecha_carga
2016T4,2016,4,-4310.564287110147,140.741464131217,-1473.1373744746234,-5642.9601974535535,INDEC_BDP_RESUMEN,2026-06-08
2017T1,2017,1,-7234.668838973585,44.85354984260222,-6224.3610411775735,-13414.176330308555,INDEC_BDP_RESUMEN,2026-06-08
2017T2,2017,2,-6605.310593500882,43.503717000431614,-6971.157988871818,-13532.964865372269,INDEC_BDP_RESUMEN,2026-06-08
2017T3,2017,3,-8148.704854829256,79.17834642375274,-8878.074828544972,-16947.601336950476,INDEC_BDP_RESUMEN,2026-06-08
2017T4,2017,4,-9162.667463458656,5.509669129019836,-9199.594072416829,-18356.751866746465,INDEC_BDP_RESUMEN,2026-06-08
2018T1,2018,1,-9396.401747068385,23.955289532250244,-9547.095764916234,-18919.542222452368,INDEC_BDP_RESUMEN,2026-06-08
2018T2,2018,2,-8434.387548974013,20.995039632250226,-9001.55351738603,-17414.94602672779,INDEC_BDP_RESUMEN,2026-06-08
2018T3,2018,3,-7358.719611096843,47.28618842225025,-7852.630263160405,-15164.063685834997,INDEC_BDP_RESUMEN,2026-06-08
2018T4,2018,4,-1894.0975439177876,18.839000452250225,-1634.5412393762929,-3509.79978284183,INDEC_BDP_RESUMEN,2026-06-08
2019T1,2019,1,-3433.675904719644,37.35032255110392,-3639.076747090643,-7035.402329259183,INDEC_BDP_RESUMEN,2026-06-08
2019T2,2019,2,-1811.8949534367152,139.17555071776633,-2372.771359871741,-4045.49076259069,INDEC_BDP_RESUMEN,2026-06-08
2019T3,2019,3,-808.397649410338,79.95015104776633,-1538.161570927865,-2266.6090692904363,INDEC_BDP_RESUMEN,2026-06-08
2019T4,2019,4,2561.488926482492,27.47127608123742,2430.744120666798,5019.704323230528,INDEC_BDP_RESUMEN,2026-06-08
2020T1,2020,1,117.12396953858342,42.42611306019008,-511.54652969277777,-351.9964470940042,INDEC_BDP_RESUMEN,2026-06-08
2020T2,2020,2,2863.3241685097387,31.623968117434817,3825.1519865846753,6720.100123211849,INDEC_BDP_RESUMEN,2026-06-08
2020T3,2020,3,1150.4050540934156,40.35152392403226,-375.6485226426594,815.1080553747886,INDEC_BDP_RESUMEN,2026-06-08
2020T4,2020,4,-1442.4911866186235,50.36086845166849,-1575.836927520248,-2967.967245687203,INDEC_BDP_RESUMEN,2026-06-08
2021T1,2021,1,395.4219267721784,45.77750525194855,1409.608248504298,1850.807680528425,INDEC_BDP_RESUMEN,2026-06-08
2021T2,2021,2,2546.7007984390984,93.90228939670293,1304.9224218902634,3945.525509726065,INDEC_BDP_RESUMEN,2026-06-08
2021T3,2021,3,3348.568343647481,70.26724174242838,1215.1933733593644,4634.028958749273,INDEC_BDP_RESUMEN,2026-06-08
2021T4,2021,4,334.0941234892396,43.04098381674538,571.9840586388805,949.1191659448655,INDEC_BDP_RESUMEN,2026-06-08
2022T1,2022,1,-1242.604777552643,34.244606385735075,-1739.1555307829126,-2947.5157019498206,INDEC_BDP_RESUMEN,2026-06-08
2022T2,2022,2,-952.6837669637782,26.90949009999555,-3118.299936476289,-4044.0742133400718,INDEC_BDP_RESUMEN,2026-06-08
2022T3,2022,3,-3605.723418913112,81.27592230954066,-3456.160233679705,-6980.607730283276,INDEC_BDP_RESUMEN,2026-06-08
2022T4,2022,4,1836.937048148597,49.08451237347649,876.4542029974509,2762.475763519524,INDEC_BDP_RESUMEN,2026-06-08
2023T1,2023,1,-5409.080851374849,25.926238677759795,-7162.767120427527,-12545.921733124615,INDEC_BDP_RESUMEN,2026-06-08
2023T2,2023,2,-6509.841725250186,48.01451346522904,-6867.043874535004,-13328.87108631996,INDEC_BDP_RESUMEN,2026-06-08
2023T3,2023,3,-5891.051281731882,36.92844760924051,-7308.420435847301,-13162.543269969941,INDEC_BDP_RESUMEN,2026-06-08
2023T4,2023,4,-2941.2777471934223,76.4090219970287,-4196.255497687799,-7061.124222884193,INDEC_BDP_RESUMEN,2026-06-08
2024T1,2024,1,175.96161263627164,93.7171453706089,-502.784408357817,-233.1056503509364,INDEC_BDP_RESUMEN,2026-06-08
2024T2,2024,2,3732.265682935869,55.16395460501982,2454.3326804427325,6241.762317983621,INDEC_BDP_RESUMEN,2026-06-08
2024T3,2024,3,890.618441710207,43.900396542088,-341.98592435777937,592.5329138945156,INDEC_BDP_RESUMEN,2026-06-08
2024T4,2024,4,902.513719079646,75.53561140504468,-108.66940578294998,869.3799247017407,INDEC_BDP_RESUMEN,2026-06-08
2025T1,2025,1,-5636.990543645708,54.67779707628648,-7511.702901522857,-13094.015648092278,INDEC_BDP_RESUMEN,2026-06-08
2025T2,2025,2,-2773.519812494308,164.82925994083917,-3381.119242417913,-5989.809794971382,INDEC_BDP_RESUMEN,2026-06-08
2025T3,2025,3,-1465.2639337840235,134.76603325622557,-2371.100966190954,-3701.5988667187517,INDEC_BDP_RESUMEN,2026-06-08
2025T4,2025,4,2294.1509880928425,-9.08591291968638,1850.2577604276196,4135.322835600776,INDEC_BDP_RESUMEN,2026-06-08
