periodo,anio,trimestre,saldo_bienes,saldo_servicios,saldo_ingreso_primario,saldo_ingreso_secundario,saldo_cuenta_corriente,fuente,fecha_carga
2020T1,2020,1,3925.774667930091,-985.8375575076911,-3087.635722614601,264.8225817307848,117.12396953858342,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2020T2,2020,2,5340.76137818994,-295.19290536069684,-2574.388937485935,392.1446331664303,2863.3241685097387,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2020T3,2020,3,4068.946328129901,-601.7180121122815,-2592.117842987992,275.29458106378814,1150.4050540934156,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2020T4,2020,4,1295.2158028399008,-653.534291483702,-2251.435246040714,167.26254806589145,-1442.4911866186237,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2021T1,2021,1,3241.088961990002,-658.5263031106742,-2503.197153957234,316.05642185008463,395.42192677217844,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2021T2,2021,2,5168.141451190102,-640.6630640874905,-2414.164151984992,433.3865633214782,2546.7007984390984,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2021T3,2021,3,6659.188837400099,-1028.206147636785,-2606.5735076089904,324.1591614931578,3348.568343647481,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2021T4,2021,4,3627.046364450096,-1372.6959833231494,-2248.6995580691364,328.44330043142946,334.0941234892396,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2022T1,2022,1,2777.672502349902,-1897.613767538072,-2570.6613014060003,447.9977890415272,-1242.604777552643,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2022T2,2022,2,3213.987406310101,-1781.083099995676,-2972.2817809541143,586.6937076759111,-952.6837669637782,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2022T3,2022,3,925.0405389900006,-1987.766780931302,-2969.1098711089794,426.1126941371686,-3605.7234189131123,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2022T4,2022,4,5499.8539686399,-1108.394445913439,-3064.500284059884,509.97780948201984,1836.9370481485967,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2023T1,2023,1,-287.1900569802019,-2231.107340656874,-3359.163630624092,468.38017688632,-5409.080851374849,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2023T2,2023,2,-2050.0380194600984,-1462.712253478819,-3628.0090882403847,630.9176359291157,-6509.841725250186,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2023T3,2023,3,-1298.6810472700015,-1557.5037518014856,-3521.395984154934,486.5295014945388,-5891.051281731882,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2023T4,2023,4,812.5823931599989,-788.5843156029423,-3449.4701480338585,484.1943232833797,-2941.2777471934223,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2024T1,2024,1,5069.5547143700005,-1350.8454109810073,-4060.970382023891,518.2226912711694,175.96161263627164,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2024T2,2024,2,7109.426493079998,-1135.500253670958,-3040.5124241869557,798.8518677137847,3732.2656829358693,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2024T3,2024,3,5306.033445090003,-1603.7108821134598,-3184.934486578058,373.2303653117221,890.618441710207,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2024T4,2024,4,4918.818373240003,-1659.8660411545225,-2976.6484293495105,620.209816343676,902.5137190796461,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2025T1,2025,1,2059.8334737000005,-4489.95346172061,-3237.4603767013105,30.589821076212505,-5636.9905436457075,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2025T2,2025,2,2668.048785999905,-2451.04005385918,-3885.925303650545,895.3967590155119,-2773.519812494308,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2025T3,2025,3,4348.4609554501,-2479.882470601748,-3824.200432101039,490.358013468663,-1465.2639337840237,INDEC_BDP_C01_C03_C04_C05,2026-06-06
2025T4,2025,4,6282.622755869797,-1812.698002078736,-2952.879977784084,777.1062120858651,2294.1509880928425,INDEC_BDP_C01_C03_C04_C05,2026-06-06
